---------------------------...
DATE: 2015-04-13
L_MIN: 30
L_MAX: 2508
FILENAME: COM_PowerSpect_CMB_R2.01.fits
PROCVER: DX11d
+-------+------------+-----------+
| ELL   | D_ELL      | ERR       |
| 639   | 1928.561   | 108.802   |
| 640   | 1925.675   | 108.392   |
| 641   | 2064.799   | 107.991   |
| 642   | 1903.573   | 107.6     |
| 643   | 2013.559   | 107.217   |
| 644   | 1636.372   | 106.843   |
| 645   | 1657.13    | 106.478   |
| 646   | 1805.394   | 106.123   |
| 647   | 1805.935   | 105.776   |
| 648   | 1905.946   | 105.44    |
| 649   | 1984.749   | 105.112   |
| 650   | 1991.687   | 104.794   |
| 651   | 1768.986   | 104.486   |
| 652   | 1874.738   | 104.187   |
| 653   | 1790.381   | 103.899   |
| 654   | 1742.062   | 103.62    |
| 655   | 1931.324   | 103.351   |
| 656   | 1791.472   | 103.093   |
| 657   | 1755.594   | 102.844   |
| 658   | 1760.921   | 102.606   |
| 659   | 1931.774   | 102.377   |
| 660   | 1769.193   | 102.16    |
| 661   | 1775.057   | 101.952   |
| 662   | 1897.245   | 101.755   |
| 663   | 2092.208   | 101.568   |
| 664   | 1911.838   | 101.392   |
| 665   | 1739.925   | 101.226   |
| 666   | 1754.646   | 101.07    |
| 667   | 1812.927   | 100.925   |
| 668   | 1793.991   | 100.79    |
| 669   | 1726.753   | 100.665   |
| 670   | 1755.398   | 100.551   |
| 671   | 1823.973   | 100.447   |
| 672   | 1793.951   | 100.354   |
| 673   | 1882.018   | 100.271   |
| 674   | 1867.309   | 100.198   |
| 675   | 1879.628   | 100.136   |
| 676   | 1747.167   | 100.084   |
| 677   | 1823.855   | 100.043   |
| 678   | 1905.505   | 100.012   |
| 679   | 1741.004   | 99.99     |
| 680   | 1696.57    | 99.979    |
| 681   | 1641.882   | 99.978    |
| 682   | 1844.255   | 99.987    |
| 683   | 1680.462   | 100.006   |
| 684   | 1771.885   | 100.034   |
| 685   | 1931.242   | 100.072   |
| 686   | 1652.963   | 100.119   |
| 687   | 1851.133   | 100.175   |
| 688   | 1903.237   | 100.241   |
| 689   | 1847.956   | 100.317   |
| 690   | 1936.482   | 100.401   |
| 691   | 1680.081   | 100.494   |
| 692   | 1688.995   | 100.596   |
| 693   | 1917.189   | 100.707   |
| 694   | 1898.532   | 100.827   |
| 695   | 1778.199   | 100.955   |
| 696   | 2001.983   | 101.091   |
| 697   | 1980.541   | 101.236   |
| 698   | 1886.95    | 101.389   |
| 699   | 1733.097   | 101.55    |
| 700   | 1832.662   | 101.719   |
| 701   | 1863.662   | 101.896   |
| 702   | 1992.393   | 102.08    |
| 703   | 1978.055   | 102.271   |
| 704   | 1969.014   | 102.47    |
| 705   | 1798.02    | 102.676   |
| 706   | 1811.342   | 102.889   |
| 707   | 1812.153   | 103.109   |
| 708   | 1942.038   | 103.336   |
| 709   | 1863.255   | 103.569   |
| 710   | 1865.736   | 103.809   |
| 711   | 1978.661   | 104.055   |
| 712   | 1902.528   | 104.308   |
| 713   | 1919.925   | 104.566   |
| 714   | 1882.37    | 104.83    |
| 715   | 1681.206   | 105.099   |
| 716   | 2001.778   | 105.373   |
| 717   | 2000.681   | 105.653   |
| 718   | 1797.28    | 105.937   |
| 719   | 2034.025   | 106.226   |
| 720   | 1949.519   | 106.52    |
| 721   | 1803.601   | 106.817   |
| 722   | 1933.798   | 107.119   |
| 723   | 2200.083   | 107.425   |
| 724   | 2077.298   | 107.734   |
| 725   | 2065.647   | 108.046   |
| 726   | 1979.42    | 108.362   |
| 727   | 1978.174   | 108.681   |
| 728   | 1995.097   | 109.002   |
| 729   | 1931.048   | 109.326   |
| 730   | 1732.21    | 109.653   |
| 731   | 2043.529   | 109.982   |
| 732   | 2111.643   | 110.313   |
| 733   | 2038.88    | 110.645   |
| 734   | 2225.077   | 110.98    |
| 735   | 1932.855   | 111.316   |
| 736   | 2178.658   | 111.653   |
| 737   | 2158.615   | 111.991   |
| 738   | 2037.464   | 112.33    |
| 739   | 1972.41    | 112.67    |
| 740   | 1965.479   | 113.01    |
| 741   | 2243.683   | 113.351   |
| 742   | 2352.087   | 113.692   |
